,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1992,0.666041244,0.062551709,0.036942526,0.065098544,0.091240244,0.058729005,0.007764604,0.006528918,0.003995288,0.000938942,9.72E-05,2.09E-05,2.60E-05,7.50E-06,5.25E-06,2.70E-06,1.68E-06,1.18E-06,9.17E-07,5.62E-06
1993,0.324668944,0.471511757,0.053837467,0.023218548,0.029335733,0.046184103,0.035519615,0.005567326,0.005394494,0.00366419,0.000922073,9.95E-05,2.20E-05,2.77E-05,8.00E-06,5.62E-06,2.89E-06,1.79E-06,1.27E-06,7.01E-06
1994,0.5300509,0.1372567,0.253766856,0.022052505,0.006949793,0.009744419,0.017481298,0.015040816,0.002570949,0.002646879,0.001867474,0.000478739,5.23E-05,1.16E-05,1.47E-05,4.25E-06,2.98E-06,1.54E-06,9.54E-07,4.40E-06
1995,0.339188933,0.339364645,0.11140363,0.1623504,0.010423025,0.003595677,0.005691505,0.01136577,0.010650501,0.001935481,0.002072091,0.001494195,0.000388276,4.27E-05,9.52E-06,1.20E-05,3.49E-06,2.45E-06,1.26E-06,4.41E-06
1996,0.651699861,0.109903576,0.141118212,0.037585972,0.042108298,0.002990367,0.001164305,0.002043037,0.004419447,0.004381265,0.000824906,0.000899424,0.000656054,0.000171655,1.89E-05,4.22E-06,5.34E-06,1.55E-06,1.09E-06,2.52E-06
1997,0.458802159,0.343627126,0.07224457,0.077983351,0.016676602,0.020035402,0.001554071,0.000652382,0.001214163,0.002738932,0.002787851,0.000532607,0.000586127,0.000429936,0.000112605,1.24E-05,2.78E-06,3.51E-06,1.02E-06,2.38E-06
1998,0.633596634,0.17175144,0.153077278,0.018615705,0.01153913,0.002858949,0.004356129,0.000423976,0.000214703,0.000458214,0.001130345,0.001212124,0.00023899,0.000267901,0.000196707,5.16E-05,5.70E-06,1.27E-06,1.61E-06,1.56E-06
1999,0.611539512,0.234884645,0.079129808,0.059806941,0.005901693,0.003920161,0.001065692,0.0017631,0.000183326,9.74E-05,0.000214296,0.000538196,0.000583663,0.000115858,0.000130004,9.56E-05,2.51E-05,2.78E-06,6.21E-07,1.55E-06
2000,0.56315432,0.259285782,0.124759102,0.030747705,0.016247658,0.001805164,0.001432239,0.000460565,0.000875419,0.000100755,5.72E-05,0.000130877,0.000336637,0.000370237,7.36E-05,8.27E-05,6.09E-05,1.60E-05,1.77E-06,1.38E-06
2001,0.471910623,0.281737352,0.165830241,0.060228116,0.010532757,0.006283734,0.00083299,0.000780259,0.000287728,0.000604476,7.43E-05,4.38E-05,0.00010264,0.000267678,0.000294689,5.87E-05,6.60E-05,4.86E-05,1.28E-05,2.52E-06
2002,0.455349356,0.237088264,0.183890959,0.088949728,0.024533539,0.004719723,0.003193655,0.000473808,0.00048577,0.000191176,0.000418738,5.27E-05,3.15E-05,7.45E-05,0.000194498,0.000214554,4.28E-05,4.81E-05,3.55E-05,1.12E-05
2003,0.554095899,0.191522051,0.12777936,0.081625191,0.030680379,0.009354508,0.002047589,0.00155447,0.000252899,0.000277088,0.000113793,0.000255321,3.26E-05,1.97E-05,4.66E-05,0.000121811,0.000134505,2.68E-05,3.02E-05,2.93E-05
